# x_m,y_m,w_tr_right_m,w_tr_left_m
140.9351436,-125.78545700000001,7.528,7.772
140.91720640000003,-126.784653,7.516,7.784
140.8996144,-127.783846,7.504,7.796
140.8823774,-128.783036,7.492,7.808
140.8655046,-129.7822226,7.479,7.821
140.8490054,-130.781406,7.467,7.833
140.8328892,-131.7805858,7.455,7.845
140.8171654,-132.7797624,7.443,7.857
140.8018436,-133.7789352,7.431,7.869
140.78672160000002,-134.778099,7.428,7.872
140.7709488,-135.777232,7.442,7.858
140.7535508,-136.7763096,7.456,7.844
140.7335528,-137.775307,7.471,7.829
140.7099802,-138.774199,7.485,7.815
140.681858,-139.77296120000003,7.499,7.801
140.6482116,-140.7715684,7.513,7.787
140.6080664,-141.769996,7.543,7.757
140.5604476,-142.7682194,7.616,7.684
140.5043806,-143.7662132,7.688,7.612
140.4388906,-144.7639532,7.76,7.54
140.3630028,-145.7614142,7.832,7.468
140.275743,-146.7585692,7.905,7.395
140.176166,-147.7551938,7.969,7.331
140.06337779999998,-148.7507148,8.027,7.273
139.9364898,-149.7445242,8.085,7.215
139.7946134,-150.73601340000002,8.093,7.207
139.6368602,-151.7245738,8.088,7.212
139.4623412,-152.7095974,8.084,7.216
139.2701682,-153.6904752,8.069,7.231
139.05945240000003,-154.6665994,8.052,7.248
138.8293052,-155.63736120000002,7.931,7.369
138.5788378,-156.60215240000002,7.761,7.539
138.307162,-157.56036440000003,7.653,7.647
138.0133888,-158.51138880000002,7.568,7.732
137.6967906,-159.454665,7.487,7.813
137.3575568,-160.3899034,7.496,7.804
136.9962018,-161.31691060000003,7.506,7.794
136.6132402,-162.2354938,7.553,7.747
136.2091872,-163.1454596,7.611,7.689
135.7845576,-164.046615,7.668,7.632
135.339866,-164.93876680000002,7.714,7.586
134.8756276,-165.8217222,7.751,7.549
134.3923568,-166.69528760000003,7.789,7.511
133.8905688,-167.55927020000001,7.787,7.513
133.370778,-168.4134768,7.686,7.614
132.8334998,-169.2577142,7.598,7.702
132.27924860000002,-170.0917892,7.554,7.746
131.7085394,-170.91550900000001,7.509,7.791
131.121887,-171.7286802,7.482,7.818
130.5198064,-172.5311098,7.582,7.718
129.9028122,-173.3226046,7.682,7.618
129.2714192,-174.1029714,7.781,7.519
