# x_m,y_m,w_tr_right_m,w_tr_left_m
67.148813,109.65253520000002,7.627,7.673
68.1477392,109.62998060000001,7.648,7.652
69.146591,109.6084396,7.669,7.631
70.1453836,109.5878444,7.69,7.61
71.1441322,109.568127,7.711,7.589
72.142852,109.5492198,7.732,7.568
73.1415582,109.531055,7.753,7.547
74.1402662,109.5135648,7.774,7.526
75.138991,109.49668140000001,7.795,7.505
76.1377482,109.48033740000001,7.815,7.485
77.13655240000001,109.4644646,7.826,7.474
78.1354194,109.4489954,7.835,7.465
79.13436420000001,109.43386220000001,7.843,7.457
80.1334022,109.41899699999999,7.852,7.448
81.1325484,109.4043322,7.861,7.439
82.13181800000001,109.3898002,7.87,7.43
83.1312264,109.37533280000001,7.879,7.421
84.1307888,109.3608626,7.888,7.412
85.13052040000001,109.34632160000001,7.897,7.403
86.13043640000001,109.33164240000002,7.906,7.394
87.13055220000001,109.31675680000001,7.914,7.386
88.1308828,109.30159739999999,7.923,7.377
89.13144340000001,109.2860962,7.932,7.368
90.1322426,109.2701398,7.941,7.359
91.13316400000001,109.25280120000001,7.95,7.35
92.1339854,109.23245460000001,7.959,7.341
93.1344806,109.20745219999999,7.968,7.332
94.13442380000001,109.1761456,7.977,7.323
95.133589,109.13688660000001,7.985,7.315
96.13175000000001,109.08802740000002,7.994,7.306
97.12868120000002,109.0279196,8.003,7.297
98.12415600000001,108.95491500000001,7.971,7.329
99.11794900000001,108.8673654,7.93,7.37
100.1098338,108.76362280000001,7.89,7.41
101.0995848,108.6420392,7.85,7.45
102.0869754,108.500967,7.809,7.491
103.0717058,108.33920599999999,7.797,7.503
104.0532894,108.1566848,7.816,7.484
105.03120980000001,107.95350900000001,7.835,7.465
106.00495160000001,107.7297832,7.854,7.446
106.97399840000001,107.4856126,7.873,7.427
107.9378346,107.2211026,7.889,7.411
108.89594400000001,106.936358,7.904,7.396
109.8478108,106.631484,7.92,7.38
110.79291920000001,106.3065856,7.936,7.364
111.730753,105.961768,7.899,7.401
112.66079640000001,105.59713620000001,7.844,7.456
113.58253340000002,105.2127954,7.79,7.51
114.495473,104.8088706,7.736,7.564
115.3993366,104.38565840000001,7.762,7.538
116.2939546,103.943543,7.812,7.488
117.17915820000002,103.4829094,7.863,7.437
118.05477860000002,103.0041424,7.913,7.387
118.92064680000001,102.50762700000001,7.963,7.337
119.776594,101.99374820000001,7.904,7.396
120.6224514,101.46289060000001,7.823,7.477
121.4580502,100.91543960000001,7.743,7.557
122.2832214,100.3517798,7.675,7.625
123.0977964,99.77229620000001,7.667,7.633
123.9016062,99.17737360000001,7.66,7.64
